Country,City,Month,Day,Year,AvgTemperature
Malawi,Lilongwe,1,7,1996,-99
Malawi,Lilongwe,1,8,1996,-99
Malawi,Lilongwe,1,9,1996,-99
Malawi,Lilongwe,1,10,1996,-99
Malawi,Lilongwe,1,11,1996,-99
Malawi,Lilongwe,1,12,1996,-99
Malawi,Lilongwe,1,13,1996,-99
Malawi,Lilongwe,1,14,1996,-99
Malawi,Lilongwe,1,15,1996,-99
Malawi,Lilongwe,1,16,1996,-99
Malawi,Lilongwe,1,17,1996,-99
Malawi,Lilongwe,1,18,1996,-99
Malawi,Lilongwe,1,19,1996,-99
Malawi,Lilongwe,1,20,1996,-99
Malawi,Lilongwe,1,21,1996,-99
Malawi,Lilongwe,1,22,1996,-99
Malawi,Lilongwe,1,23,1996,-99
Malawi,Lilongwe,1,24,1996,-99
Malawi,Lilongwe,1,25,1996,-99
Malawi,Lilongwe,1,26,1996,-99
Malawi,Lilongwe,1,27,1996,-99
Malawi,Lilongwe,1,28,1996,-99
Malawi,Lilongwe,1,29,1996,-99
Malawi,Lilongwe,1,30,1996,-99
Malawi,Lilongwe,1,31,1996,-99
Malawi,Lilongwe,2,1,1996,-99
Malawi,Lilongwe,2,2,1996,-99
Malawi,Lilongwe,2,3,1996,-99
Malawi,Lilongwe,2,4,1996,-99
Malawi,Lilongwe,2,5,1996,-99
Malawi,Lilongwe,2,6,1996,-99
Malawi,Lilongwe,2,7,1996,-99
Malawi,Lilongwe,2,8,1996,-99
Malawi,Lilongwe,2,9,1996,-99
Malawi,Lilongwe,2,10,1996,-99
Malawi,Lilongwe,2,11,1996,-99
Malawi,Lilongwe,2,12,1996,-99
Malawi,Lilongwe,2,13,1996,-99
Malawi,Lilongwe,2,14,1996,-99
Malawi,Lilongwe,2,15,1996,-99
Malawi,Lilongwe,2,16,1996,-99
Malawi,Lilongwe,2,17,1996,-99
Malawi,Lilongwe,2,18,1996,-99
Malawi,Lilongwe,2,19,1996,-99
Malawi,Lilongwe,2,20,1996,-99
Malawi,Lilongwe,2,21,1996,-99
Malawi,Lilongwe,2,22,1996,-99
Malawi,Lilongwe,2,23,1996,-99
Malawi,Lilongwe,2,24,1996,-99
Malawi,Lilongwe,2,25,1996,-99
Malawi,Lilongwe,2,26,1996,-99
Malawi,Lilongwe,2,27,1996,-99
Malawi,Lilongwe,2,28,1996,-99
Malawi,Lilongwe,2,29,1996,-99
Malawi,Lilongwe,3,1,1996,-99
Malawi,Lilongwe,3,2,1996,-99
Malawi,Lilongwe,3,3,1996,-99
Malawi,Lilongwe,3,4,1996,-99
Malawi,Lilongwe,3,5,1996,-99
Malawi,Lilongwe,3,6,1996,-99
Malawi,Lilongwe,3,7,1996,-99
Malawi,Lilongwe,3,8,1996,-99
Malawi,Lilongwe,3,9,1996,-99
Malawi,Lilongwe,3,10,1996,-99
Malawi,Lilongwe,3,11,1996,-99
Malawi,Lilongwe,3,12,1996,-99
Malawi,Lilongwe,3,13,1996,-99
Malawi,Lilongwe,3,14,1996,-99
Malawi,Lilongwe,3,15,1996,-99
Malawi,Lilongwe,3,16,1996,-99
Malawi,Lilongwe,3,17,1996,-99
Malawi,Lilongwe,3,18,1996,-99
Malawi,Lilongwe,3,19,1996,-99
Malawi,Lilongwe,3,20,1996,-99
Malawi,Lilongwe,3,21,1996,-99
Malawi,Lilongwe,3,22,1996,-99
Malawi,Lilongwe,3,23,1996,-99
Malawi,Lilongwe,3,24,1996,-99
Malawi,Lilongwe,3,25,1996,-99
Malawi,Lilongwe,3,26,1996,-99
Malawi,Lilongwe,3,27,1996,-99
Malawi,Lilongwe,3,28,1996,-99
Malawi,Lilongwe,3,29,1996,-99
Malawi,Lilongwe,3,30,1996,-99
Malawi,Lilongwe,3,31,1996,-99
Malawi,Lilongwe,4,1,1996,-99
Malawi,Lilongwe,4,2,1996,-99
Malawi,Lilongwe,4,3,1996,-99
Malawi,Lilongwe,4,4,1996,-99
Malawi,Lilongwe,4,5,1996,-99
Malawi,Lilongwe,4,6,1996,-99
Malawi,Lilongwe,4,7,1996,-99
Malawi,Lilongwe,4,8,1996,-99
Malawi,Lilongwe,4,9,1996,-99
Malawi,Lilongwe,4,10,1996,-99
Malawi,Lilongwe,4,11,1996,-99
Malawi,Lilongwe,4,12,1996,-99
Malawi,Lilongwe,4,13,1996,-99
Malawi,Lilongwe,4,14,1996,-99
Malawi,Lilongwe,4,15,1996,-99
Malawi,Lilongwe,4,16,1996,-99
Malawi,Lilongwe,4,17,1996,-99
Malawi,Lilongwe,4,18,1996,-99
Malawi,Lilongwe,4,19,1996,-99
Malawi,Lilongwe,4,20,1996,-99
Malawi,Lilongwe,4,21,1996,-99
